hitter,p_swing,p_contact,p_hard_contact,p_hard,alpha,xwoba_per_pitch
Kevin McGonigle,0.892,0.8628,0.4054,0.3119,0.0006,0.192
Kevin McGonigle,0.8621,0.6807,0.0881,0.052,0.0049,0.098
Kevin McGonigle,0.916,0.8971,0.2477,0.2038,0.0018,0.119
Kevin McGonigle,0.6078,0.8974,0.4749,0.2593,0.0068,0.15
Kevin McGonigle,0.7215,0.9248,0.4914,0.328,0.0018,0.146
Kevin McGonigle,0.8023,0.9221,0.563,0.4167,0.0015,0.168
Kevin McGonigle,0.9425,0.8253,0.3795,0.2947,0.0064,0.092
Kevin McGonigle,0.6212,0.9074,0.4778,0.2697,0.0078,0.155
Kevin McGonigle,0.9045,0.8878,0.4049,0.3256,0.0017,0.172
Kevin McGonigle,0.97,0.932,0.4056,0.3667,0.0,0.207
Kevin McGonigle,0.7575,0.829,0.2654,0.1667,0.0024,0.092
Kevin McGonigle,0.4592,0.7403,0.0837,0.0284,0.0049,0.079
Kevin McGonigle,0.6741,0.5247,0.2452,0.0868,0.0014,0.101
Kevin McGonigle,0.158,0.3989,0.0362,0.0023,0.0009,0.146
Kevin McGonigle,0.4906,0.319,0.1536,0.024,0.0022,0.114
Kevin McGonigle,0.7851,0.8157,0.4375,0.2802,0.0012,0.114
Kevin McGonigle,0.8637,0.8415,0.4368,0.3182,0.0027,0.155
Kevin McGonigle,0.9339,0.8836,0.4979,0.409,0.0111,0.15
Kevin McGonigle,0.8763,0.8552,0.2024,0.1516,0.0,0.092
Kevin McGonigle,0.5544,0.9305,0.5745,0.2967,0.0153,0.155
Kevin McGonigle,0.5544,0.2497,0.036,0.005,0.0062,0.101
Kevin McGonigle,0.5474,0.8289,0.3156,0.1443,0.0115,0.092
Kevin McGonigle,0.5524,0.4222,0.0839,0.0195,0.0018,0.114
Kevin McGonigle,0.8907,0.6652,0.4075,0.2415,0.0032,0.114
Kevin McGonigle,0.3941,0.879,0.3126,0.1117,0.0085,0.098
Kevin McGonigle,0.8914,0.9124,0.4049,0.3298,0.0017,0.192
Kevin McGonigle,0.918,0.8696,0.4365,0.3503,0.0034,0.205
Kevin McGonigle,0.9266,0.9247,0.4713,0.4038,0.0,0.192
Kevin McGonigle,0.575,0.8168,0.428,0.2007,0.0084,0.125
Kevin McGonigle,0.8908,0.9131,0.5308,0.4333,0.0118,0.177
Kevin McGonigle,0.9577,0.8889,0.3603,0.3068,0.0005,0.192
Kevin McGonigle,0.9165,0.7392,0.1205,0.0818,0.0015,0.101
Kevin McGonigle,0.9378,0.7737,0.3585,0.259,0.0351,0.089
Kevin McGonigle,0.6225,0.9076,0.4746,0.2692,0.0089,0.155
Kevin McGonigle,0.9333,0.886,0.4498,0.3738,0.015,0.167
Kevin McGonigle,0.9695,0.9314,0.4748,0.4284,0.0021,0.177
Kevin McGonigle,0.5773,0.9129,0.4984,0.2633,0.012,0.146
Kevin McGonigle,0.6733,0.9074,0.3487,0.2131,0.0004,0.124
Kevin McGonigle,0.914,0.8854,0.3808,0.3095,0.0028,0.177
Kevin McGonigle,0.5515,0.7174,0.1536,0.0609,0.0019,0.101
Kevin McGonigle,0.9155,0.8895,0.3811,0.3106,0.0021,0.167
Kevin McGonigle,0.5815,0.8438,0.3119,0.1533,0.0013,0.124
Kevin McGonigle,0.8765,0.9321,0.3483,0.2844,0.0014,0.167
Kevin McGonigle,0.4722,0.8634,0.2496,0.1017,0.0054,0.092
Munetaka Murakami,0.2584,0.606,0.291,0.0456,0.0,0.016
Munetaka Murakami,0.1917,0.8552,0.0714,0.0117,0.0,0.02
Munetaka Murakami,0.8518,0.8694,0.421,0.3118,0.0,0.124
Munetaka Murakami,0.9154,0.878,0.3488,0.2803,0.0,0.146
Munetaka Murakami,0.9475,0.9247,0.3488,0.3056,0.0,0.177
Munetaka Murakami,0.4672,0.7846,0.2455,0.09,0.0,0.098
Munetaka Murakami,0.8919,0.8627,0.4056,0.3121,0.0,0.192
Munetaka Murakami,0.8647,0.6841,0.0885,0.0523,0.0,0.098
Munetaka Murakami,0.9164,0.8978,0.2481,0.2042,0.0,0.119
Munetaka Murakami,0.6068,0.8978,0.4713,0.2568,0.0,0.15
Munetaka Murakami,0.7219,0.9247,0.4923,0.3286,0.0,0.146
Munetaka Murakami,0.8028,0.922,0.5638,0.4173,0.0,0.168
Munetaka Murakami,0.9421,0.8242,0.3819,0.2966,0.0,0.092
Munetaka Murakami,0.62,0.9078,0.4737,0.2666,0.0,0.155
Munetaka Murakami,0.9043,0.8893,0.4056,0.3262,0.0,0.172
Munetaka Murakami,0.97,0.932,0.4056,0.3667,0.0,0.207
Munetaka Murakami,0.7569,0.8286,0.2652,0.1663,0.0,0.092
Munetaka Murakami,0.4582,0.7403,0.0841,0.0285,0.0,0.079
Munetaka Murakami,0.6736,0.5254,0.2455,0.0869,0.0,0.101
Munetaka Murakami,0.1581,0.3993,0.0362,0.0023,0.0,0.146
Munetaka Murakami,0.4895,0.3197,0.1539,0.0241,0.0,0.114
Munetaka Murakami,0.7854,0.8155,0.438,0.2805,0.0,0.114
Munetaka Murakami,0.8647,0.8424,0.438,0.3191,0.0,0.155
Munetaka Murakami,0.9332,0.8879,0.4923,0.408,0.0,0.15
Munetaka Murakami,0.8763,0.8552,0.2024,0.1516,0.0,0.092
Munetaka Murakami,0.5516,0.9322,0.5679,0.292,0.0,0.155
Munetaka Murakami,0.5516,0.2513,0.0362,0.005,0.0,0.101
Munetaka Murakami,0.5436,0.8286,0.3123,0.1407,0.0,0.092
Munetaka Murakami,0.5516,0.4212,0.0841,0.0195,0.0,0.114
Munetaka Murakami,0.8912,0.6647,0.4056,0.2403,0.0,0.114
Munetaka Murakami,0.3899,0.878,0.3067,0.105,0.0,0.098
Munetaka Murakami,0.8912,0.914,0.4056,0.3304,0.0,0.192
Munetaka Murakami,0.9198,0.8726,0.438,0.3515,0.0,0.205
Munetaka Murakami,0.9266,0.9247,0.4713,0.4038,0.0,0.192
Munetaka Murakami,0.5748,0.8181,0.4232,0.199,0.0,0.125
Munetaka Murakami,0.8912,0.916,0.5371,0.4385,0.0,0.177
Munetaka Murakami,0.9577,0.8893,0.3605,0.307,0.0,0.192
Munetaka Murakami,0.9164,0.7403,0.1207,0.0819,0.0,0.101
Munetaka Murakami,0.9421,0.7746,0.3488,0.2545,0.0,0.089
Munetaka Murakami,0.62,0.9078,0.4699,0.2644,0.0,0.155
Munetaka Murakami,0.9345,0.8893,0.4567,0.3795,0.0,0.167
Munetaka Murakami,0.97,0.932,0.4737,0.4282,0.0,0.177
Munetaka Murakami,0.5748,0.914,0.4923,0.2587,0.0,0.146
Munetaka Murakami,0.6736,0.9078,0.3488,0.2132,0.0,0.124
Munetaka Murakami,0.9154,0.8879,0.3819,0.3104,0.0,0.177
Munetaka Murakami,0.5516,0.7188,0.1539,0.061,0.0,0.101
Munetaka Murakami,0.9164,0.8893,0.3819,0.3113,0.0,0.167
Munetaka Murakami,0.5816,0.8449,0.3123,0.1535,0.0,0.124
Munetaka Murakami,0.8763,0.932,0.3488,0.2848,0.0,0.167
Munetaka Murakami,0.4726,0.8627,0.2455,0.1001,0.0,0.092
